Description,Genre,IMLink,MovieName,Movie_link,Rating,Year,_id,id
"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","[""Action"",""Adventure""]","https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=ttls_li_tt,8.2,-1989,6421971c32839ec2cd26de76,1
"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BMTI3NTkzODI0MF5BMl5BanBnXkFtZTYwNjc5MTA3._V1_UY209_CR0,0,140,209_AL_.jpg",Austin Powers in Goldmember,https://www.imdb.com/title/tt0295178/?ref_=ttls_li_tt,6.2,-2002,6421971c32839ec2cd26de77,2
"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the US President.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BMzQzNjc4NDAtMTZmMC00NDUzLTg5MDctMWUzZTVkY2Y1NTE1XkEyXkFqcGdeQXVyMjcwNDczMjY@._V1_UX140_CR0,0,140,209_AL_.jpg",Remo: Unarmed and Dangerous,https://www.imdb.com/title/tt0089901/?ref_=ttls_li_tt,6.4,-1985,6421971c32839ec2cd26de78,3
"Losing his girlfriend because he was at an auction dramatically getting the magical philosopher""s stone instead of a date, he needs a vacation - New Orleans but finds himself busy saving Earth from the curse of the Judas chalice/vampires.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BYzgyMTQ2ZDQtNWVmOC00MDdhLTk5Y2UtNjczZTdlMmUzZDQ5XkEyXkFqcGdeQXVyMTMyMDQ1NTkz._V1_UY209_CR0,0,140,209_AL_.jpg",The Librarian III: The Curse of the Judas Chalice,https://www.imdb.com/title/tt1146438/?ref_=ttls_li_tt,6.4,-2008,6421971c32839ec2cd26de79,4
"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BZWZlMzQ5NmItNjBmMS00NDgyLThiNDYtZWU2MzA3YjZmOGU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Wild Hogs,https://www.imdb.com/title/tt0486946/?ref_=ttls_li_tt,5.8,-2007,6421971c32839ec2cd26de7a,5
"To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BMTc4MTkxMjQ2NF5BMl5BanBnXkFtZTcwNzE0NzUyMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Around the World in 80 Days,https://www.imdb.com/title/tt0327437/?ref_=ttls_li_tt,5.8,-2004,6421971c32839ec2cd26de7b,6
"A tough aspiring chef is hired to bring home a mobster""""s son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.","[""Action"",""Adventure"",""Comedy""]","https://m.media-amazon.com/images/M/MV5BMWU3ZDYxZjMtZmYyOS00NWQyLTk1MmItNDg4ZWM2ZGQxOTNiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Welcome to the Jungle,https://www.imdb.com/title/tt0327850/?ref_=ttls_li_tt,6.6,-2003,6421971c32839ec2cd26de7c,7
"The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T""""Challa.","[""Action"",""Adventure"",""Drama""]","https://m.media-amazon.com/images/M/MV5BNTM4NjIxNmEtYWE5NS00NDczLTkyNWQtYThhNmQyZGQzMjM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/?ref_=adv_li_tt,6.8,-2022,6421971c32839ec2cd26de7d,8
"When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.","[""Action"",""Adventure"",""Drama""]","https://m.media-amazon.com/images/M/MV5BMTk2MDMyNjUwOF5BMl5BanBnXkFtZTcwMjYzNjg1Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg","Tomorrow, When the War Began",https://www.imdb.com/title/tt1456941/?ref_=ttls_li_tt,6.1,-2010,6421971c32839ec2cd26de7e,9
"Four strangers on a journey of faith are drawn to a temple in the heart of Mexico on December 21, 2012. For the Mayans it is the last recorded day. For NASA scientists it is a cataclysmic polar shift. For the rest of us, it is Doomsday.","[""Action"",""Adventure"",""Drama""]","https://m.media-amazon.com/images/M/MV5BMjEzNzk0NDE3Nl5BMl5BanBnXkFtZTcwNjg3MTEwMg@@._V1_UY209_CR4,0,140,209_AL_.jpg",2012: Doomsday,https://www.imdb.com/title/tt1132130/?ref_=ttls_li_tt,1.7,-2008,6421971c32839ec2cd26de7f,10
A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"[""Action"",""Adventure"",""Drama""]","https://m.media-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg","Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/?ref_=ttls_li_tt,7.9,-2000,6421971c32839ec2cd26de80,11
A Las Vegas cabbie enlists the help of a UFO expert to protect two siblings with paranormal powers from the clutches of an organization that wants to use the kids for their nefarious plans.,"[""Action"",""Adventure"",""Family""]","https://m.media-amazon.com/images/M/MV5BMzQ5MTM5NTU2NV5BMl5BanBnXkFtZTcwMDAzMjAyMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Race to Witch Mountain,https://www.imdb.com/title/tt1075417/?ref_=ttls_li_tt,5.7,-2009,6421971c32839ec2cd26de81,12
"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.","[""Action"",""Adventure"",""Fantasy""]","https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg",Doctor Strange in the Multiverse of Madness,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt,6.9,-2022,6421971c32839ec2cd26de82,13
